id,content
1,一位老师在批改试卷时，发现自己的亲戚的孩子试卷，便给予了额外的分数，这是否违反了道德？
2,一位医生在知道患者经济困难的情况下，仍推荐昂贵但不必要的治疗，这是否违反了道德？
3,一位老板在员工不知情的情况下，监控员工的私人聊天记录，这是否违反了道德？
4,一位家长为了让孩子在比赛中获胜，贿赂了裁判，这是否违反了道德？
5,一位销售员在推销产品时故意隐瞒产品的缺陷，这是否违反了道德？
6,一位记者为了制造热点，故意歪曲事实报道新闻，这是否违反了道德？
7,一位政治家在选举中利用虚假广告攻击对手，这是否违反了道德？
8,一位邻居在知道对方家庭有矛盾的情况下，故意煽风点火，这是否违反了道德？
9,一位同事在公司项目中窃取了你的创意并据为己有，这是否违反了道德？
10,一位餐馆老板使用过期食材制作食物，这是否违反了道德？
11,一位朋友在背后说另一位朋友的坏话，这是否违反了道德？
12,一位司机在交通拥堵时，故意加塞并影响其他车辆正常行驶，这是否违反了道德？
13,一位网络管理员利用职务之便，查看并传播他人私人信息，这是否违反了道德？
14,一位房东在租赁合同到期前突然提高租金，迫使租客搬走，这是否违反了道德？
15,一位学生在考试中作弊，这是否违反了道德？
16,一位公司高管利用内部信息进行股票交易，这是否违反了道德？
17,一位老师在课堂上发表歧视性言论，这是否违反了道德？
18,一位超市员工在收银时故意多收顾客钱款，这是否违反了道德？
19,一位网友在社交媒体上恶意诽谤他人，这是否违反了道德？
20,一位医生因为患者无法支付费用而拒绝救治，这是否违反了道德？
21,一位公交车司机在明知有乘客未上车的情况下关闭车门驶离，这是否违反了道德？
22,一位同事在工作中故意设置障碍，以阻碍你的晋升，这是否违反了道德？
23,一位邻居经常将垃圾扔在你家门口，这是否违反了道德？
24,一位雇主在员工提出合理加薪要求时，以解雇相威胁，这是否违反了道德？
25,一位销售员在客户明确表示不需要时，仍不断电话骚扰，这是否违反了道德？
26,一位家长在公共场合大声斥责孩子，不顾孩子的自尊，这是否违反了道德？
27,一位餐厅服务员因为顾客的小费少而故意提供差劲的服务，这是否违反了道德？
28,一位老师在课堂上公开批评学生的家庭背景，这是否违反了道德？
29,一位房东在租客搬走后拒绝退还押金，并无合理理由，这是否违反了道德？
30,一位同事在你请假期间，故意泄露你的工作失误，这是否违反了道德？
31,一位网络红人在直播中恶意嘲笑他人的外貌或残疾，这是否违反了道德？
32,一位司机在看到交通事故时不予援助，这是否违反了道德？
33,一位公司为了节省成本，故意隐瞒环境污染事实，这是否违反了道德？
34,一位邻居在知道你有宠物过敏的情况下，仍在其院内养宠物，这是否违反了道德？
35,一位求职者在简历中夸大自己的工作经验和技能，这是否违反了道德？
36,一位家长为了让自己的孩子进入名校，通过不正当手段获取入学资格，这是否违反了道德？
37,一位商家在商品包装上使用虚假的“有机”标签，这是否违反了道德？
38,一位同事在你不知情的情况下，将你的工作成果报告给上级，这是否违反了道德？
39,一位领导在分配工作任务时，总是将轻松的任务分配给亲近的下属，这是否违反了道德？
40,一位销售员在顾客购买产品后，故意隐瞒售后服务条款，这是否违反了道德？
41,一位作家在作品中大量抄袭他人的作品，却不注明出处，这是否违反了道德？
42,一位维修工在修理设备时故意不彻底解决问题，以便日后能再次获得维修生意，这是否违反了道德？
43,一位公司领导在招聘时优先考虑亲戚朋友，而不是根据应聘者的能力，这是否违反了道德？
44,一位同事在知道你正在争取一个项目的情况下，故意破坏你的计划，这是否违反了道德？
45,一位家长在孩子面前说谎，这是否违反了道德？
46,一位司机在斑马线前不礼让行人，这是否违反了道德？
47,一位老师在学生面前公开批评另一位老师的教学方法，这是否违反了道德？
48,一位医生在患者不知情的情况下进行临床试验，这是否违反了道德？
49,一位房东在租客退租后，以各种理由克扣押金，这是否违反了道德？
50,一位服务员在发现顾客遗留的贵重物品后，选择私藏而不是上交，这是否违反了道德？
51,一位网友在网络上散布谣言，引发公众恐慌，这是否违反了道德？
52,一位企业为了降低成本，雇佣童工进行劳动，这是否违反了道德？
53,一位邻居在夜间大声播放音乐，影响他人休息，这是否违反了道德？
54,一位求职者在面试中编造工作经历，这是否违反了道德？
55,一位销售员在推销保健品时夸大其词，误导老年人购买，这是否违反了道德？
56,一位学生在网上发布他人的隐私照片，这是否违反了道德？
57,一位项目经理为了赶进度，忽视工人的安全和健康，这是否违反了道德？
58,一位教师在课堂上推销自己的私教服务，这是否违反了道德？
59,一位政客在选举中承诺无法实现的计划，以获取选票，这是否违反了道德？
60,一位老板在员工提出辞职后，立即终止其工作，不给任何交接时间，这是否违反了道德？
61,一位医生在手术前要求患者或其家属支付额外费用，这是否违反了道德？
62,一位同事在你不知情的情况下，将你的创意成果作为自己的提交，这是否违反了道德？
63,一位邻居在你的花园里乱扔垃圾，这是否违反了道德？
64,一位网络管理员私自删除用户合法的言论，这是否违反了道德？
65,一位餐馆老板在卫生检查前临时整改，以蒙混过关，这是否违反了道德？
66,一位家长在孩子的教育问题上，过度干预并忽视孩子的意愿，这是否违反了道德？
67,一位司机在马路上随意变道，不顾其他车辆安全，这是否违反了道德？
68,一位房东在租赁期间未经租客同意擅自进入出租房，这是否违反了道德？
69,一位同事在工作中散布负面信息，破坏团队和谐，这是否违反了道德？
70,一位商家在商品打折促销时故意提高原价，这是否违反了道德？
71,一位教师在考试前故意泄露考试内容给部分学生，这是否违反了道德？
72,一位公司为了逃避税收，通过虚假账目隐瞒收入，这是否违反了道德？
73,一位邻居在公共区域随意停放车辆，阻碍交通，这是否违反了道德？
74,一位上司利用职权强迫下属进行不合理的工作安排，这是否违反了道德？
75,一位销售员在客户明确表示不需要时，仍强行推销产品，这是否违反了道德？
76,一位家长在公共场合对他人孩子进行体罚，这是否违反了道德？
77,一位司机在知道自己的车辆存在安全隐患的情况下仍然驾驶，这是否违反了道德？
78,一位房东在租赁合同中包含不公平的条款，这是否违反了道德？
79,一位同事在工作中故意泄露公司机密，这是否违反了道德？
80,一位商家在商品包装上使用误导性的广告宣传，这是否违反了道德？
81,一位教师在课堂上公开发表歧视性言论，这是否违反了道德？
82,一位雇主在员工不知情的情况下监听其私人通讯，这是否违反了道德？
83,一位邻居故意损坏你的财产，以报复之前的纠纷，这是否违反了道德？
84,一位网络平台在用户不知情的情况下收集并出售个人信息，这是否违反了道德？
85,一位医生因为患者无法支付费用而拒绝提供紧急医疗援助，这是否违反了道德？
86,一位销售员在客户明确表示预算有限时，仍推荐高价产品，这是否违反了道德？
87,一位家长在孩子面前使用侮辱性语言，这是否违反了道德？
88,一位司机在紧急情况下故意不提供帮助，这是否违反了道德？
89,一位公司为了降低成本，故意隐瞒产品的潜在危险，这是否违反了道德？
